Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,YSF Digital Enabled,DG-ID,WIRES-X,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Uplink Tone,AllStar,Nets,Web links,DMR Enabled,Color Code,Wide Network,Talkgroups,Rocky Mountain Wide,Central Regional,Affiliate,Notes,Downlink Tone,EchoLink,IRLP,Commands,Links,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,On-air,DMR ID,Local Network,Mixed-Mode,Northern Colorado Regional,Feed,TAC 310,TAC 311,Colorado,Colorado Chat,Grid,Southern Colorado,Eastern Colorado,IPSC Network,Bandwidth,Devilshead Local,Talkgroup Network,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide English,North America,Worldwide,English,Wyoming,WyLOCAL
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,Y,5.68,S,,08,17059,39.0542,-103.48,447,442,yes,Open ↑ / Open ↓,30534,Lincoln,On-Air,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",Delbert Noakes (KC0VJD),APRS repeater &amp; I-Gate / Weather station,CCARC,2019-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,A,,9.22,N,,08,128,39.2688,-103.488,147.06,147.66,,,,Lincoln,On-Air,"I-70, US-71, US-287, US-40, US-24",BSARC,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",CCARC,2019-07-21,103.5,42740,Big Sandy Net: Tues 19:00,http://www.bigsandyradio.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0RTS,"Genoa, Limon",CO,OPEN,,D,9.96,N,,08,13581,39.2783,-103.5,446.7375,441.7375,,,,Lincoln,On-Air,"I-70 H-40 H-287 Arriba, Genoa, Hugo, Limon 50 mile radius",K0RTS KC0VJD,,CCARC,2016-01-31,,,,,yes,8,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,RMHam,Colorado on TG700 Slot 1 Denver on TG720 Slot 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,,23.19,SSW,,08,7395,38.852,-103.7,449.9,444.9,,,,Lincoln,On-Air,,,,CCARC,2012-07-20,107.2,,,,,,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,,23.99,NW,Node Offline,08,9583,39.3703,-103.801,449.25,444.25,,,,Elbert,On-Air,"I-70 Limon, Co area.",K0UPS Club c/o N1UPS,Full duplex node.,CCARC,2014-09-02,123,,,,,,,,,,,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",123,3349,3349,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,,33.79,W,,08,12167,39.2267,-104.09,147.105,147.705,,,,Elbert,On-Air,"I-70, E. Arapahoe, Elbert, Lincoln Counties",ARES of Douglas and Elbert Counties,Linked to CRA 447.150 - Conifer,CCARC,2017-07-19,107.2,,,http://www.w0cra.org/,,,,,,,Colorado Repeater Association,,107.2,,,,"Full-time to 448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,,47.72,E,Node Offline,08,122,39.3033,-102.605,146.895,146.295,,,,Kit Carson,On-Air,,Big Sandy ARC,,CCARC,2018-04-01,103.5,,,,,,,,,,,,,830619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,103.5,KC0VJD,Firstview,CO,OPEN,W,Y,54.83,SE,,08,17703,38.7958,-102.548,447.6,442.6,yes,Open ↑ / Open ↓,35710,Cheyenne,On-Air,"US-40, US-287, US-385, CO-94, CO-96 Kit Carson, Cheyenne Wells, Firstview, Eads, Aroya, Sheridan Lake",Delbert Noakes (KC0VJD),"APRS Digireater &amp; iGate, Weather Station",CCARC,2019-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,,61.36,W,ON - IDLE,08,13294,39.0437,-104.608,447.625,442.625,,,,El Paso,On-Air,,KD0MDP,Linked.,,2015-06-02,100,28299,,,,,,,,,The Fun Machine,,100,363976,7301,,Full-time to the The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,Y,62.72,WSW,,08,13790,38.933,-104.609,447.2,442.2,yes,Open ↑ / Open ↓,,El Paso,Testing,"Falcon, Black Forest, Peyton Areas",GGARC,,,2015-11-11,,,,,,,,,,,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7375,-25.8,100,KI0HC,Parker,CO,OPEN,,,65,WNW,,08,14732,39.5391,-104.569,927.8375,902.025,,,,Douglas,On-Air,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,CCARC,2018-02-21,,,,,,,,,,,,Offset is -25.8125 In Nac 294 Out Nac 293,,,,,,yes,294,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,,,Black Forest,CO,OPEN,,SY,66.29,W,,08,17551,39.0485,-104.701,448.95,443.95,yes,Open ↑ / Open ↓,,El Paso,,This repeater covers most of Black Forest and various areas of Monument and Colorado Springs,N0PKT,e-power,,2019-01-08,,,Primarily on NXDN: All Nets carried on the K0JSC.COM Fun Machine system,http://www.k0jsc.com,,,,,,,K0JSC,,,,,,,,,,yes,(B) Repeater,jfindu lookup / dstar-users lookup,yes,1,6.25,yes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,S,66.87,WNW,,08,11473,39.3935,-104.675,446.85,441.85,,,,Douglas,On-Air,,Parker Radio Association,D-Star B module,CCARC,2018-03-18,,,,http://parkerradio.org,,,,,,,,,,,,,,,,,yes,K0PRA (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,K0PRA,Parker,CO,OPEN,,D,69.39,WNW,,08,17292,39.4491,-104.703,445.075,440.075,,,,Douglas,On-Air,,Parker Radio Association,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,CCARC,2018-09-10,,,Mondays 20:30 MST,http://www.parkerradio.org,yes,1,,,,,,Mixed Mode,,,,,,,,,,,,,,,,,310844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,156.7,AD0TP,Colorado Springs,CO,OPEN,,,71.41,WSW,,08,42,38.8381,-104.821,146.85,146.25,,,,El Paso,On-Air,,AD0TP,,CCARC,2019-02-17,156.7,,,http://www.v7arc.com/,,,,,,,Village 7 Amateur Radio Club,Please email with comments/signal reports,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,,71.66,W,,08,57,39.0302,-104.799,448.8,443.8,,,,El Paso,On-Air,I-25 corridor from Baptist Rd south to Fort Carson,Pikes Peak FM Association (http://PPFMA.ORG),,CCARC,2019-09-24,100,,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC,W0FT,Akron,CO,OPEN,,D,72.08,N,,08,16784,40.1605,-103.214,448.175,443.175,,,,Morgan,On-Air,,W0FT,,CCARC,2018-02-01,,,,http://www.rmham.org/,yes,7,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,310833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,,72.09,N,,08,2,40.1606,-103.214,145.4,144.8,,,,Washington,On-Air,Northeastern plains of Colorado.,Colorado Connection,,CCARC,2018-11-02,88.5,,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,Part of the Colorado Connection system of repeaters,123,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,,73.24,WSW,,08,15989,38.9,-104.8,224.72,223.12,,,,El Paso,On-Air,Local,w0mog,,,2017-04-07,103.5,,,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
