Frequency,Offset,Tone     ,Call  ,Location                                                   ,ST/PR,Use    ,VOIP,DGTL,Mi   ,Dir,                ,state_id,ID   ,Latitude,Longitude,Downlink ,Uplink   ,Uplink Tone,County     ,On-air ,Sponsor                                             ,Coordination,Last update,Op Status,Features                                                                                             ,Downlink Tone,Coverage                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Links                                                                            ,Web links                                             ,Affiliate                                      ,IRLP,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Nets                                                                                                                                                    ,Grid    ,EchoLink,AllStar,D-STAR Enabled,Node                       ,Sources               ,DMR Enabled,Color Code,Wide Network,Talkgroups                                                                                                                                                                                                         ,Rocky Mountain Wide,Southern Colorado,DMR ID,Talkgroup Network  ,Central Regional,Northern Colorado Regional,Commands                                                                                                                                                                                                                                                               ,Location Photo,Feed       ,Bandwidth,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Devilshead Local,YSF Digital Enabled,DG-ID          ,TAC 310,TAC 311,Colorado,Colorado Chat,Mixed-Mode          ,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Worldwide,North America,English,Europe,DCI Bridge,Southwest USA,Local Network  ,WIRES-X,RX Location,Gunbarrel  ,Lousville  ,Lyons      ,Louisville #2,Local/Cluster,N. Colorado,Worldwide English,Mountain Reg USA,Wyoming,WyLOCAL
449.95   ,-5    ,         ,K5GF  ,Gunnison                                                   ,CO   ,OPEN   ,    ,    ,0    ,N  ,                ,08      ,161  ,38.5458 ,-106.925 ,449.95   ,444.95   ,           ,Gunnison   ,Unknown,K5GF                                                ,CCARC       ,2012-11-10 ,         ,                                                                                                     ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                 ,                                                      ,                                               ,    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,        ,        ,       ,              ,                           ,                      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,      ,                   ,                ,                          ,                                                                                                                                                                                                                                                                       ,              ,           ,         ,                ,                    ,   ,                 ,                ,                   ,               ,       ,       ,        ,             ,                    ,            ,   ,              ,            ,         ,             ,       ,      ,          ,             ,               ,       ,           ,           ,           ,           ,             ,             ,           ,                 ,                ,       ,
147.12   ,0.6   ,         ,W0VTL ,Gunnison                                                   ,CO   ,OPEN   ,    ,    ,0    ,N  ,                ,08      ,160  ,38.5458 ,-106.925 ,147.12   ,147.72   ,           ,Gunnison   ,       ,W0VTL                                               ,CCARC       ,2014-09-01 ,On-Air   ,E-power.                                                                                             ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                 ,                                                      ,                                               ,    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,        ,        ,       ,              ,                           ,                      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,      ,                   ,                ,                          ,                                                                                                                                                                                                                                                                       ,              ,           ,         ,                ,                    ,   ,                 ,                ,                   ,               ,       ,       ,        ,             ,                    ,            ,   ,              ,            ,         ,             ,       ,      ,          ,             ,               ,       ,           ,           ,           ,           ,             ,             ,           ,                 ,                ,       ,
447.65   ,-5    ,151.4    ,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain"              ,CO   ,OPEN   ,    ,    ,21.1 ,E  ,                ,08      ,15212,38.6125 ,-106.543 ,447.65   ,442.65   ,151.4      ,Gunnison   ,       ,KB0YNA                                              ,CCARC       ,2016-10-28 ,On-Air   ,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado."                   ,151.4        ,Gunnison valley and along East and west on Highway 50.                                                                                                                                                                                                                                                                                                                                                                                                                          ,"Full-time to
448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .

Full-time to
449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO ."                          ,                                                      ,                                               ,    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,        ,        ,       ,              ,                           ,                      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,      ,                   ,                ,                          ,                                                                                                                                                                                                                                                                       ,              ,           ,         ,                ,                    ,   ,                 ,                ,                   ,               ,       ,       ,        ,             ,                    ,            ,   ,              ,            ,         ,             ,       ,      ,          ,             ,               ,       ,           ,           ,           ,           ,             ,             ,           ,                 ,                ,       ,
145.325  ,-0.6  ,100      ,KD0MRC,Maysville                                                  ,CO   ,OPEN   ,    ,    ,31.5 ,ESE,                ,08      ,16739,38.5063 ,-106.345 ,145.325  ,144.725  ,100        ,Chaffee    ,       ,Chaffee Lake Amateur Repeater Association           ,            ,2019-09-04 ,On-Air   ,                                                                                                     ,             ,wide area                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                                 ,                                                      ,                                               ,    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,        ,        ,       ,              ,                           ,                      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,      ,                   ,                ,                          ,                                                                                                                                                                                                                                                                       ,              ,           ,         ,                ,                    ,   ,                 ,                ,                   ,               ,       ,       ,        ,             ,                    ,            ,   ,              ,            ,         ,             ,       ,      ,          ,             ,               ,       ,           ,           ,           ,           ,             ,             ,           ,                 ,                ,       ,
146.745  ,-0.6  ,100      ,W0LSD ,Nathrop                                                    ,CO   ,OPEN   ,    ,    ,40.8 ,E  ,                ,08      ,184  ,38.7129 ,-106.2   ,146.745  ,146.145  ,100        ,Chaffee    ,       ,CLARA                                               ,CCARC       ,2019-07-21 ,On-Air   ,E-power.                                                                                             ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                 ,                                                      ,                                               ,    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,        ,        ,       ,              ,                           ,                      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,      ,                   ,                ,                          ,                                                                                                                                                                                                                                                                       ,              ,           ,         ,                ,                    ,   ,                 ,                ,                   ,               ,       ,       ,        ,             ,                    ,            ,   ,              ,            ,         ,             ,       ,      ,          ,             ,               ,       ,           ,           ,           ,           ,             ,             ,           ,                 ,                ,       ,
147.135  ,-0.6  ,123      ,KB5ITS,"Lake City, Hill 71"                                       ,CO   ,OPEN   ,    ,    ,41.4 ,SSW,                ,08      ,16607,38.03   ,-107.315 ,147.135  ,146.535  ,123        ,Hinsdale   ,       ,                                                    ,CCARC       ,2018-01-15 ,On-Air   ,E-power (solar)                                                                                      ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                 ,http://www.sjcham.com                                 ,                                               ,    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,        ,        ,       ,              ,                           ,                      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,      ,                   ,                ,                          ,                                                                                                                                                                                                                                                                       ,              ,           ,         ,                ,                    ,   ,                 ,                ,                   ,               ,       ,       ,        ,             ,                    ,            ,   ,              ,            ,         ,             ,       ,      ,          ,             ,               ,       ,           ,           ,           ,           ,             ,             ,           ,                 ,                ,       ,
448.65   ,-5    ,         ,KB0YNA,"Montrose, Waterdog Peak"                                  ,CO   ,OPEN   ,    ,    ,42   ,WSW,                ,08      ,15213,38.3875 ,-107.674 ,448.65   ,443.65   ,           ,Montrose   ,       ,KB0YNA                                              ,            ,2016-10-11 ,On-Air   ,                                                                                                     ,151.4        ,Wide area.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"Full-time to
447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO ."         ,                                                      ,                                               ,    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,        ,        ,       ,              ,                           ,                      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,      ,                   ,                ,                          ,                                                                                                                                                                                                                                                                       ,              ,           ,         ,                ,                    ,   ,                 ,                ,                   ,               ,       ,       ,        ,             ,                    ,            ,   ,              ,            ,         ,             ,       ,      ,          ,             ,               ,       ,           ,           ,           ,           ,             ,             ,           ,                 ,                ,       ,
447.2    ,-5    ,107.2    ,WA4HND,"Montrose, Waterdog Peak"                                  ,CO   ,OPEN   ,I   ,    ,42   ,WSW,                ,08      ,69   ,38.3875 ,-107.674 ,447.2    ,442.2    ,107.2      ,Montrose   ,       ,                                                    ,CCARC       ,2018-01-15 ,On-Air   ,9                                                                                                    ,107.2        ,Delta/Montrose                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Full-time to the  GMRA Open System .                                             ,GMRA Repeaters                                        ,Grand Mesa Repeater Assoc                      ,3710,Closed IRLP out - Ask for a control op                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,RACES Net Wed at 1930 Hrs.                                                                                                                              ,        ,        ,       ,              ,                           ,                      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,      ,                   ,                ,                          ,                                                                                                                                                                                                                                                                       ,              ,           ,         ,                ,                    ,   ,                 ,                ,                   ,               ,       ,       ,        ,             ,                    ,            ,   ,              ,            ,         ,             ,       ,      ,          ,             ,               ,       ,           ,           ,           ,           ,             ,             ,           ,                 ,                ,       ,
147.33   ,0.6   ,107.2    ,KI0MR ,Paonia                                                     ,CO   ,OPEN   ,    ,    ,42.3 ,WNW,                ,08      ,8179 ,38.8683 ,-107.592 ,147.33   ,147.93   ,107.2      ,Delta      ,       ,North Fork Repeater Assoc.                          ,CCARC       ,2016-05-16 ,On-Air   ,                                                                                                     ,             ,Wide area.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                 ,                                                      ,                                               ,    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,        ,        ,       ,              ,                           ,                      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,      ,                   ,                ,                          ,                                                                                                                                                                                                                                                                       ,              ,           ,         ,                ,                    ,   ,                 ,                ,                   ,               ,       ,       ,        ,             ,                    ,            ,   ,              ,            ,         ,             ,       ,      ,          ,             ,               ,       ,           ,           ,           ,           ,             ,             ,           ,                 ,                ,       ,
447.05   ,-5    ,136.5    ,K0VQ  ,"Aspen, Aspen Mountain"                                    ,CO   ,OPEN   ,    ,    ,43.9 ,N  ,                ,08      ,260  ,39.1761 ,-106.829 ,447.05   ,442.05   ,136.5      ,Pitkin     ,       ,Roaring Fork Amateur Repeater Cooperative           ,CCARC       ,2012-11-10 ,On-Air   ,                                                                                                     ,136.5        ,Aspen-Snowmass areas.                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                 ,                                                      ,                                               ,    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,        ,        ,       ,              ,                           ,                      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,      ,                   ,                ,                          ,                                                                                                                                                                                                                                                                       ,              ,           ,         ,                ,                    ,   ,                 ,                ,                   ,               ,       ,       ,        ,             ,                    ,            ,   ,              ,            ,         ,             ,       ,      ,          ,             ,               ,       ,           ,           ,           ,           ,             ,             ,           ,                 ,                ,       ,
