Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,147.37500,147.97500,600 kHz,+DUP,FM,0BV Trinidad Raton Pass,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 8180 288.10 CO Las Animas Trinidad Raton Pass K0BV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,146.67000,146.07000,600 kHz,-DUP,FM,0EP Durango Eagle Pass,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 113 369.64 CO La Plata Durango Eagle Pass K0EP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,146.70000,146.10000,600 kHz,-DUP,FM,0EP Durango Missionary Ridge,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 116 358.03 CO La Plata Durango Missionary Ridge K0EP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,147.21000,147.81000,600 kHz,+DUP,FM,0HS Hot Springs,T Sql,146.2 Hz,146.2 Hz,023,Both N,Off,46 3647 407.79 SD Fall River Hot Springs K0HS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,147.33000,147.93000,600 kHz,+DUP,FM,0IQ North Platte,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,31 11023 388.65 NE Lincoln North Platte N0IQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,146.92500,146.32500,600 kHz,-DUP,FM,0JS Creede,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 63 269.87 CO Mineral Creede WA0JS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,147.33000,147.93000,600 kHz,+DUP,FM,0MR Paonia,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 8179 245.68 CO Delta Paonia KI0MR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,146.70000,146.10000,600 kHz,-DUP,FM,0NP North Platte,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,31 43 387.57 NE Lincoln North Platte NE0NP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,145.22000,144.62000,600 kHz,-DUP,FM,0TY Grand Junction,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 8167 316.98 CO Mesa Grand Junction KE0TY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,147.39000,147.99000,600 kHz,+DUP,FM,0TY Grand Junction,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 152 316.90 CO Mesa Grand Junction KE0TY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
11,147.17500,147.77500,600 kHz,+DUP,FM,5EM Des Moines Sierra Grande,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,35 15638 345.09 NM Union Des Moines Sierra Grande NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,147.04000,147.64000,600 kHz,+DUP,FM,5EM Eagle Nest Touch Me Not,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,35 15635 351.61 NM Colfax Eagle Nest Touch Me Not NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,145.17500,144.57500,600 kHz,-DUP,FM,5EM Tres Piedras San Antonio Mtn,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,35 15616 354.32 NM Taos Tres Piedras San Antonio Mtn. NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,147.28000,147.88000,600 kHz,+DUP,FM,5ML Raton Sierra Grande,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 136 318.18 NM Colfax Raton Sierra Grande NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,147.14000,147.74000,600 kHz,+DUP,FM,5ML Taos Ski Valley,Tone,67.0 Hz,67.0 Hz,023,Both N,Off,35 11288 351.33 NM Taos Taos Ski Valley NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
16,147.22000,147.82000,600 kHz,+DUP,FM,5ML Tres Piedras San Antonio Mou,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 175 332.63 NM Rio Arriba Tres Piedras San Antonio Mountain NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
17,147.18000,147.78000,600 kHz,+DUP,FM,5PX Dixon Cerro Abajo,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,35 15923 401.42 NM Rio Arriba Dixon Cerro Abajo KD5PX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
18,147.08000,147.68000,600 kHz,+DUP,FM,5SF Chama Overlook Mtn,Tone,162.2 Hz,162.2 Hz,023,Both N,Off,35 15079 344.22 NM Rio Arriba Chama Overlook Mtn W5SF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
19,145.43000,144.83000,600 kHz,-DUP,FM,5SJ Dulce,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,35 15624 358.42 NM Rio Arriba Dulce NM5SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
20,147.06000,147.66000,600 kHz,+DUP,FM,5SJ Nebo Cedar Hill,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 16667 398.92 NM San Juan Nebo Cedar Hill NM5SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
